from,to,weight
MP,Pol,3
MP,Spd,1
RPo,Ind,3
RPo,Cdu,1
BP,Umw,3
ST,Pol,3
ST,Cdu,1
GH,Pol,2
GH,Cdu,2
SKam,Ver,2
SKam,Cdu,1
SKap,Ver,2
SKap,Fdp,1
DK,Ver,2
CN,Ind,2
KR,Ver,2
KR,Cdu,1
GR,Eng,2
GR,Gru,1
ES,Ind,2
ES,Eng,2
AG,Reg,2
HW,Reg,2
HW,Cdu,2
CH,Reg,2
MKr,Reg,2
MKr,Cdu,2
RPr,Ver,2
RPr,Gru,1
MV,Gew,2
MV,Spd,1
AS,Gew,2
AS,Spd,1
SKoer,Gew,2
SKoer,Spd,1
MKa,Umw,2
HW,Umw,2
KN,Umw,2
JA,Wis,2
JA,Spd,1
FM,Wis,2
HJS,Wis,2
AN,Wis,2
RW,Wis,2
ALae,Pol,1
ALae,Cdu,2
ALen,Pol,1
ALen,Csu,2
MM,Pol,1
MM,Spd,2
